user_id,platform,total_reviews,usage_duration,style_diversity,mean_time_spacing,std_time_spacing
nmann08.184925,BeerAdvocate,465,3493.0,81,2.961206896551724,17.926252918015066
stjamesgate.163714,BeerAdvocate,2504,3584.0,93,1.2736715940870955,4.0205077287952395
mdagnew.19527,BeerAdvocate,1143,4457.0,87,3.503502626970228,7.180988508502111
cypressbob.3708,BeerAdvocate,604,5002.0,81,4.262023217247098,20.94093101829719
agentmunky.409755,BeerAdvocate,1990,2771.0,94,1.3489190548014078,2.7118350584594277
ferrari29.320392,BeerAdvocate,389,3029.0,74,3.7603092783505154,22.221036007526042
othershoe2.233642,BeerAdvocate,1315,3309.0,100,2.2336377473363775,25.854288414248316
brentk56.6284,BeerAdvocate,6306,4827.0,101,0.7578112609040444,1.0015199263998527
emerge077.17949,BeerAdvocate,4734,4489.0,104,0.8436509613353053,1.3086859275676315
garthdanielson.522584,BeerAdvocate,3562,2459.0,96,0.6338107273237854,1.1749359519276275
chinchill.199175,BeerAdvocate,5199,3440.0,103,0.4828780300115429,0.8410270877781343
cyberkedi.113659,BeerAdvocate,2172,3871.0,99,1.682174113311838,11.673805806126966
chaingangguy.8942,BeerAdvocate,4736,4690.0,103,0.8973600844772968,2.190645173964073
treyliff.490010,BeerAdvocate,2023,2547.0,100,1.248763600395648,2.852455552046046
derekp.400402,BeerAdvocate,182,2796.0,63,15.044198895027625,56.930349570956714
jays2629.517433,BeerAdvocate,890,2473.0,93,0.952755905511811,6.872390229316102
puboflyons.237852,BeerAdvocate,3166,3292.0,100,1.0034755134281201,1.5027326319938776
dodo2step.110880,BeerAdvocate,676,3888.0,83,5.158518518518519,9.515724805471711
beerprovedwright.484930,BeerAdvocate,292,2560.0,72,1.5360824742268042,6.447231732601536
oberon.256,BeerAdvocate,5028,5648.0,98,1.1199522578078376,2.9000003014854303
ronaldtheriot.241704,BeerAdvocate,1948,3276.0,92,1.4227015921931176,1.6313848538683846
morey.182874,BeerAdvocate,500,3501.0,73,6.767535070140281,19.215070749594453
beeradvocate.1,BeerAdvocate,1887,7647.0,98,3.4920466595970305,36.073204238489424
alleykatking.257816,BeerAdvocate,1166,3211.0,91,0.7064377682403433,1.708479387790093
hoagie1973.191162,BeerAdvocate,309,3470.0,79,8.665584415584416,31.77898816171508
themaniacalone.37950,BeerAdvocate,4948,4349.0,103,0.855265817667273,2.0793192650565064
climax.91732,BeerAdvocate,478,4009.0,75,2.4716981132075473,6.260934623716685
russpowell.19986,BeerAdvocate,4583,4451.0,101,0.9532955041466609,1.3829981792246802
jayli.193663,BeerAdvocate,1231,3461.0,91,1.3967479674796748,5.335938837787609
zeff80.63854,BeerAdvocate,4058,4193.0,100,1.03179689425684,2.3337681794354337
bdimike.146831,BeerAdvocate,399,3676.0,82,4.884422110552764,13.299370585766276
erosier.161073,BeerAdvocate,861,3596.0,89,2.0569767441860467,4.646553937262711
kadonny.156863,BeerAdvocate,651,3617.0,73,5.504615384615384,8.05322109697374
walken.127993,BeerAdvocate,169,3785.0,56,5.779761904761905,17.674510756507335
biggred1.206640,BeerAdvocate,748,3413.0,88,2.755020080321285,8.16092900952605
beerbuddha.123204,BeerAdvocate,344,3817.0,79,7.760932944606414,48.00183952680854
tone.106332,BeerAdvocate,3764,3918.0,101,0.8405527504650545,2.793358667436731
freshie.41824,BeerAdvocate,258,4323.0,70,11.785992217898833,65.70938709967979
amberman22.348977,BeerAdvocate,183,2940.0,55,5.225274725274725,18.86792767305117
scruffwhor.17340,BeerAdvocate,1933,4502.0,96,2.2650103519668736,33.20884992685563
durge.139656,BeerAdvocate,1676,3723.0,93,2.040597014925373,6.944533593821397
