,beer_name,beer_id,brewery_name,brewery_id,style,abv,date,user_name,user_id,appearance,aroma,palate,taste,overall,rating,continent,type
0,33 Export (Gabon),410549,Sobraga,3198,Pale Lager,5.0,26/04/2016,Manslow,175852,2,4,2,4,8,2.0,Africa,
1,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,17/02/2017,MAGICuenca91,442761,2,3,2,4,8,1.9,Africa,
2,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,24/06/2016,Sibarh,288889,3,3,2,3,5,1.6,Africa,
3,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,01/01/2016,fombe89,250510,4,3,1,2,5,1.5,Africa,
4,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,23/10/2015,kevnic2008,122778,2,4,2,4,7,1.9,Africa,
5,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,12/10/2015,Beerhunter111,227834,2,3,2,3,9,1.9,Africa,
6,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,07/10/2015,Erzengel,83106,4,5,4,5,8,2.6,Africa,
7,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,05/05/2015,Manslow,175852,2,4,2,3,6,1.7,Africa,
8,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,29/05/2014,Lowenbrau,37316,3,5,2,3,7,2.0,Africa,
9,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,18/07/2013,seynie,75452,2,3,3,4,6,1.8,Africa,
10,Castel Beer (Gabon),105273,Sobraga,3198,Pale Lager,5.2,18/06/2009,Cletus,17111,4,4,2,4,8,2.2,Africa,
11,Régab,19445,Sobraga,3198,Pale Lager,4.5,17/02/2017,MAGICuenca91,442761,2,4,3,5,11,2.5,Africa,
12,Régab,19445,Sobraga,3198,Pale Lager,4.5,06/08/2015,GenDV138,290599,3,5,3,5,10,2.6,Africa,
13,Régab,19445,Sobraga,3198,Pale Lager,4.5,02/08/2015,nimbleprop,38859,2,5,2,5,8,2.2,Africa,
14,Régab,19445,Sobraga,3198,Pale Lager,4.5,01/08/2015,Iphonephan,210140,2,3,3,3,9,2.0,Africa,
15,Régab,19445,Sobraga,3198,Pale Lager,4.5,01/08/2015,solidfunk,128160,3,5,3,4,5,2.0,Africa,
16,Régab,19445,Sobraga,3198,Pale Lager,4.5,01/08/2015,radagast83,26851,2,4,2,4,8,2.0,Africa,
17,Régab,19445,Sobraga,3198,Pale Lager,4.5,01/08/2015,Travlr,83882,2,2,2,4,3,1.3,Africa,
18,Régab,19445,Sobraga,3198,Pale Lager,4.5,07/07/2015,fombe89,250510,4,3,3,2,3,1.5,Africa,
19,Régab,19445,Sobraga,3198,Pale Lager,4.5,19/04/2015,Manslow,175852,3,4,2,4,6,1.9,Africa,
20,Régab,19445,Sobraga,3198,Pale Lager,4.5,18/07/2013,seynie,75452,3,2,2,4,5,1.6,Africa,
21,Régab,19445,Sobraga,3198,Pale Lager,4.5,12/11/2012,fonefan,38926,2,3,2,4,7,1.8,Africa,
22,Régab,19445,Sobraga,3198,Pale Lager,4.5,17/09/2012,Kingink,217452,4,5,3,6,7,2.5,Africa,
23,Régab,19445,Sobraga,3198,Pale Lager,4.5,06/09/2012,Zita,98909,3,3,2,2,5,1.5,Africa,
24,Régab,19445,Sobraga,3198,Pale Lager,4.5,06/09/2012,Hansen,5986,2,3,2,4,7,1.8,Africa,
25,Régab,19445,Sobraga,3198,Pale Lager,4.5,06/09/2012,onystrom,26684,2,4,1,4,5,1.6,Africa,
